"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2025","213.28","212.49","214.99","211.50","2.07M","0.49%"
"04/21/2025","212.23","213.90","215.00","211.52","2.90M","-0.31%"
"04/18/2025","212.88","216.70","216.70","212.50","1.71M","-0.56%"
"04/17/2025","214.08","212.90","214.69","211.01","1.86M","1.12%"
"04/16/2025","211.70","216.00","217.00","210.10","3.20M","-1.22%"
"04/15/2025","214.32","212.90","216.80","211.56","5.79M","1.08%"
"04/14/2025","212.02","213.50","215.00","210.45","2.03M","-0.07%"
"04/11/2025","212.16","214.75","214.75","211.75","2.69M","-1.21%"
"04/10/2025","214.75","217.00","219.00","214.00","5.63M","2.99%"
"04/09/2025","208.52","212.00","213.80","205.00","5.51M","-2.96%"
"04/08/2025","214.89","215.99","218.15","214.05","6.19M","0.85%"
"04/07/2025","213.07","224.00","224.00","204.09","11.61M","-6.04%"
"04/04/2025","226.77","235.00","235.70","226.01","4.44M","-3.37%"
"04/03/2025","234.68","232.89","236.00","230.02","3.18M","0.84%"
"03/27/2025","232.73","233.44","233.99","230.40","2.61M","-0.01%"
"03/26/2025","232.75","233.01","235.00","228.25","8.94M","3.82%"
"03/25/2025","224.19","218.26","225.00","215.20","6.13M","2.76%"
"03/24/2025","218.17","228.00","228.00","216.30","3.95M","-4.04%"
"03/21/2025","227.35","226.80","229.15","226.50","3.22M","0.24%"
"03/20/2025","226.81","226.10","229.74","225.60","4.92M","0.59%"
"03/19/2025","225.48","223.50","226.98","221.50","4.16M","1.08%"
"03/18/2025","223.06","223.45","226.49","221.98","5.50M","0.76%"
"03/17/2025","221.38","218.00","223.40","218.00","4.23M","1.28%"
"03/14/2025","218.59","218.90","219.90","217.90","1.59M","0.14%"
"03/13/2025","218.28","217.24","219.80","216.75","3.10M","0.48%"
"03/12/2025","217.24","219.94","221.80","216.10","4.56M","-0.72%"
"03/11/2025","218.82","214.50","220.00","210.80","8.14M","1.89%"
"03/10/2025","214.77","216.75","219.90","213.01","6.10M","-4.05%"
"03/07/2025","223.84","223.57","228.00","222.75","8.87M","0.57%"
"03/06/2025","222.58","212.90","224.00","211.62","18.05M","4.54%"
"03/05/2025","212.91","213.49","214.75","212.55","2.30M","-0.19%"
"03/04/2025","213.32","211.50","213.50","211.50","1.63M","0.74%"
"03/03/2025","211.76","212.65","214.00","211.22","1.57M","-0.39%"
"02/28/2025","212.59","213.00","214.75","211.55","5.00M","0.23%"
"02/27/2025","212.11","208.20","214.15","208.20","4.50M","1.55%"
"02/26/2025","208.88","212.90","214.00","208.11","2.76M","-2.09%"
"02/25/2025","213.33","211.67","218.00","211.67","8.38M","1.41%"
"02/24/2025","210.37","202.51","211.75","201.00","6.34M","3.76%"
"02/21/2025","202.75","205.10","205.51","202.00","825.16K","-1.01%"
"02/20/2025","204.81","204.80","208.50","204.00","3.83M","0.00%"
"02/19/2025","204.80","206.55","207.50","203.45","1.32M","-0.46%"
"02/18/2025","205.74","200.90","206.27","199.00","2.12M","3.16%"
"02/17/2025","199.44","202.85","202.85","199.00","939.28K","-1.20%"
"02/14/2025","201.86","206.44","208.00","201.00","1.33M","-2.21%"
"02/13/2025","206.43","209.10","212.60","205.85","2.87M","-1.28%"
"02/12/2025","209.10","208.19","210.37","206.01","2.90M","0.44%"
"02/11/2025","208.19","202.19","210.11","201.52","7.36M","3.59%"
"02/10/2025","200.97","198.50","202.89","196.40","2.12M","1.24%"
"02/07/2025","198.51","196.50","199.99","195.52","2.35M","1.57%"
"02/06/2025","195.44","200.01","200.70","192.15","6.28M","-2.22%"
"02/04/2025","199.88","203.00","204.30","198.50","2.90M","-1.39%"
"02/03/2025","202.69","209.00","209.00","202.05","1.83M","-1.85%"
"01/31/2025","206.51","207.00","210.90","205.65","3.99M","-0.17%"
"01/30/2025","206.87","204.00","208.00","203.00","4.30M","1.79%"
"01/29/2025","203.24","204.00","205.97","201.10","3.82M","-0.18%"
"01/28/2025","203.60","208.50","208.50","201.23","5.22M","-2.63%"
"01/27/2025","209.11","213.00","213.55","208.90","2.90M","-1.56%"
"01/24/2025","212.43","214.75","216.50","211.80","2.14M","-0.69%"
"01/23/2025","213.91","214.00","218.00","212.50","3.08M","-0.04%"
"01/22/2025","213.99","218.00","219.00","213.00","3.25M","-1.94%"
"01/21/2025","218.23","222.10","225.25","217.01","3.40M","-1.94%"
"01/20/2025","222.54","223.00","225.85","222.01","3.84M","0.28%"
"01/17/2025","221.91","218.00","223.30","216.75","4.63M","1.44%"
"01/16/2025","218.75","222.49","222.50","218.01","2.70M","-1.36%"
"01/15/2025","221.77","222.99","226.23","219.40","5.71M","-0.17%"
"01/14/2025","222.15","225.88","225.88","221.00","3.37M","-1.23%"
"01/13/2025","224.91","227.20","228.75","222.20","7.65M","-0.02%"
"01/10/2025","224.96","212.40","230.00","209.09","10.28M","5.60%"
"01/09/2025","213.03","213.50","216.90","208.11","5.56M","0.04%"
