"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2024","379.00","390.00","392.50","378.00","579.03K","-2.07%"
"12/05/2024","387.01","393.00","404.99","379.70","1.42M","-1.10%"
"12/04/2024","391.30","386.45","410.00","382.31","1.31M","2.43%"
"12/03/2024","382.00","377.00","397.00","368.50","883.90K","2.14%"
"12/02/2024","374.00","366.27","380.00","365.00","833.22K","3.46%"
"11/29/2024","361.50","365.00","368.90","361.50","752.10K","0.14%"
"11/28/2024","361.01","364.00","368.89","355.00","952.34K","0.56%"
"11/27/2024","359.01","352.50","363.54","341.00","1.12M","8.94%"
"11/26/2024","329.54","364.98","364.98","329.54","1.16M","-8.96%"
"11/25/2024","361.99","360.00","372.00","352.25","1.23M","0.55%"
"11/22/2024","360.01","360.10","382.00","345.01","1.89M","1.88%"
"11/21/2024","353.38","324.20","353.38","318.00","954.94K","10.09%"
"11/20/2024","321.00","330.00","340.00","317.56","1.05M","-2.28%"
"11/19/2024","328.50","308.00","329.25","308.00","990.35K","7.00%"
"11/18/2024","307.00","305.00","313.07","305.00","259.06K","0.66%"
"11/15/2024","304.99","317.00","326.00","299.10","511.17K","-2.87%"
"11/14/2024","314.00","325.16","331.85","314.00","693.46K","-2.79%"
"11/13/2024","323.00","324.99","345.00","315.60","976.39K","0.00%"
"11/12/2024","323.00","321.00","346.26","307.50","2.55M","2.61%"
"11/11/2024","314.78","286.16","314.78","286.00","1.67M","10.06%"
"11/08/2024","286.00","285.00","287.40","282.00","232.42K","0.36%"
"11/07/2024","284.98","283.75","289.20","277.10","336.09K","2.14%"
"11/06/2024","279.00","291.36","293.50","278.11","509.87K","-3.80%"
"11/05/2024","290.01","302.99","304.90","284.00","937.30K","-1.36%"
"11/04/2024","294.00","281.00","298.59","280.01","880.72K","5.00%"
"11/01/2024","280.00","262.98","284.74","262.98","833.63K","5.26%"
"10/31/2024","266.00","270.15","274.10","248.01","613.87K","-0.75%"
"10/30/2024","268.00","268.00","274.99","261.10","822.28K","4.09%"
"10/29/2024","257.46","257.46","257.46","248.00","1.66M","10.00%"
"10/28/2024","234.05","212.40","234.05","211.00","766.20K","10.40%"
"10/25/2024","212.00","219.50","226.00","210.01","497.72K","-2.75%"
"10/24/2024","218.00","211.02","221.00","211.02","850.20K","2.58%"
"10/23/2024","212.51","213.00","216.97","211.00","249.89K","-0.23%"
"10/22/2024","213.00","211.22","216.56","211.00","165.42K","0.29%"
"10/21/2024","212.38","210.36","215.00","209.52","114.39K","1.37%"
"10/18/2024","209.50","214.00","215.00","208.15","165.88K","-1.18%"
"10/17/2024","212.00","218.88","219.00","211.50","146.87K","-3.20%"
"10/16/2024","219.00","210.00","219.99","208.50","434.48K","5.29%"
"10/15/2024","208.00","217.99","217.99","208.00","283.95K","-3.08%"
"10/14/2024","214.60","213.45","218.98","210.10","347.21K","2.04%"
"10/11/2024","210.30","211.50","215.00","207.90","432.42K","-0.33%"
"10/10/2024","211.00","207.50","211.90","206.00","523.31K","3.43%"
"10/09/2024","204.00","202.80","207.00","201.50","1.09M","1.49%"
"10/08/2024","201.00","201.00","207.00","200.01","542.74K","1.00%"
"10/07/2024","199.01","197.00","203.47","195.00","231.07K","1.53%"
