"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2024","177.70","175.26","182.40","171.75","9.94M","4.55%"
"11/27/2024","169.96","159.97","169.96","158.50","16.44M","9.67%"
"11/26/2024","154.98","147.74","161.90","144.10","15.66M","4.90%"
"11/25/2024","147.74","145.20","154.69","145.00","8.33M","1.89%"
"11/22/2024","145.00","135.50","148.39","135.50","19.34M","7.46%"
"11/21/2024","134.94","134.10","135.90","133.51","2.98M","0.85%"
"11/20/2024","133.80","138.50","140.98","133.51","4.07M","-2.76%"
"11/19/2024","137.60","138.75","141.00","137.60","1.97M","-0.86%"
"11/18/2024","138.80","134.20","139.60","132.05","2.79M","3.88%"
"11/15/2024","133.62","131.00","135.00","131.00","2.92M","2.55%"
"11/14/2024","130.30","125.50","130.99","125.25","2.09M","4.07%"
"11/13/2024","125.21","125.50","125.90","124.40","1.15M","0.00%"
"11/12/2024","125.21","128.00","128.00","125.00","1.04M","-1.84%"
"11/11/2024","127.56","130.94","130.94","127.01","1.13M","-1.20%"
"11/08/2024","129.11","129.51","130.94","128.46","1.17M","-0.30%"
"11/07/2024","129.50","131.75","132.40","129.00","1.42M","-1.51%"
"11/06/2024","131.49","130.44","132.01","129.51","518.23K","0.84%"
"11/05/2024","130.40","131.51","131.51","129.76","702.16K","-1.21%"
"11/04/2024","132.00","133.90","134.99","131.50","443.20K","-0.79%"
"11/01/2024","133.05","130.49","134.90","130.05","942.35K","1.80%"
"10/31/2024","130.70","137.00","137.00","130.00","3.43M","-4.42%"
"10/30/2024","136.75","140.00","140.50","136.10","619.33K","-1.90%"
"10/29/2024","139.40","139.40","141.85","139.01","1.47M","-0.57%"
"10/28/2024","140.20","138.50","141.50","138.50","3.45M","1.22%"
"10/25/2024","138.51","137.15","139.74","137.15","3.28M","0.15%"
"10/24/2024","138.30","136.97","139.89","135.00","4.24M","-0.50%"
"10/23/2024","139.00","135.92","139.32","134.50","3.98M","2.70%"
"10/22/2024","135.35","135.20","138.00","135.11","1.43M","0.25%"
"10/21/2024","135.01","134.02","135.48","133.50","1.07M","0.75%"
"10/18/2024","134.00","132.26","134.95","131.60","1.81M","-0.07%"
"10/17/2024","134.10","135.75","135.75","132.25","1.65M","-0.30%"
"10/16/2024","134.50","137.95","139.50","134.01","2.45M","-2.17%"
"10/15/2024","137.49","135.25","137.98","134.61","674.83K","1.73%"
"10/14/2024","135.15","136.80","137.00","135.00","1.37M","-0.15%"
"10/11/2024","135.35","137.50","138.90","134.79","4.28M","-1.56%"
"10/10/2024","137.50","140.94","140.94","136.66","2.86M","-1.79%"
"10/09/2024","140.00","140.11","144.00","139.00","5.63M","-0.35%"
"10/08/2024","140.49","128.75","140.60","128.75","10.53M","8.32%"
"10/07/2024","129.70","129.00","129.81","128.25","2.49M","0.15%"
"10/04/2024","129.50","128.27","131.25","127.60","2.13M","1.07%"
"10/03/2024","128.13","126.05","129.80","125.57","7.03M","1.00%"
"10/02/2024","126.86","124.75","127.00","123.10","4.59M","1.50%"
"10/01/2024","124.99","127.01","128.87","124.10","1.36M","-1.66%"
"09/30/2024","127.10","128.50","128.89","123.60","2.43M","-0.39%"
"09/27/2024","127.60","128.00","129.65","127.60","2.54M","-0.70%"
"09/26/2024","128.50","130.00","132.40","128.15","4.35M","-0.77%"
"09/25/2024","129.50","128.99","130.20","127.05","3.70M","0.93%"
"09/24/2024","128.31","128.95","129.40","126.28","4.26M","-0.15%"
"09/23/2024","128.50","128.00","129.38","126.41","6.58M","0.51%"
"09/20/2024","127.85","119.25","129.97","119.25","16.17M","6.64%"
"09/19/2024","119.89","116.70","122.10","116.01","3.63M","3.25%"
"09/18/2024","116.12","115.55","116.90","115.55","904.47K","-0.03%"
"09/16/2024","116.16","114.90","116.45","114.55","238.67K","0.91%"
"09/13/2024","115.11","117.00","117.48","114.80","745.39K","-0.98%"
"09/12/2024","116.25","117.25","117.40","115.00","1.19M","-0.38%"
"09/11/2024","116.69","119.49","119.50","116.06","1.84M","-1.53%"
"09/10/2024","118.50","116.10","120.40","116.10","2.11M","0.85%"
"09/09/2024","117.50","119.90","119.90","116.00","1.67M","-2.00%"
"09/06/2024","119.90","118.50","119.95","118.03","985.10K","0.97%"
"09/05/2024","118.75","120.45","120.45","118.00","1.56M","-1.04%"
"09/04/2024","120.00","120.00","120.65","119.40","471.36K","0.29%"
"09/03/2024","119.65","119.50","120.00","118.50","1.82M","-2.33%"
"09/02/2024","122.50","125.55","129.10","121.99","4.12M","-1.75%"
"08/30/2024","124.68","126.78","128.80","124.60","2.26M","-1.45%"
"08/29/2024","126.52","128.00","128.98","126.00","1.47M","-0.89%"
