Date,Price,Open,High,Low,Vol.,Change %
03/24/2025,207.34,212.11,212.74,206.25,2.66M,-2.61%
03/21/2025,212.9,215,215,212.5,767.51K,-0.45%
03/20/2025,213.86,214.5,216.2,213.5,2.20M,-0.10%
03/19/2025,214.08,215,215.25,213,1.62M,-0.39%
03/18/2025,214.91,214.96,216.46,214,1.61M,-0.08%
03/17/2025,215.09,219,221,213.41,8.82M,-1.85%
03/14/2025,219.15,218.5,219.62,217,848.93K,-2.55%
03/13/2025,224.89,224.67,226.16,223.76,1.27M,0.46%
03/12/2025,223.85,224.01,224.65,222.51,717.71K,0.24%
03/11/2025,223.31,224.99,224.99,221.51,1.26M,-0.83%
03/10/2025,225.19,224.1,226,224.04,260.69K,0.33%
03/07/2025,224.44,225,226.46,223.88,602.57K,0.15%
03/06/2025,224.11,221,225,221,405.16K,1.47%
03/05/2025,220.87,224.75,224.75,220.5,758.44K,-1.62%
03/04/2025,224.5,224.11,225,224,242.19K,0.01%
03/03/2025,224.48,224,226.49,223.5,287.25K,0.53%
02/28/2025,223.29,225,226.88,223,587.28K,-1.33%
02/27/2025,226.29,227.3,227.38,225.75,342.71K,-0.01%
02/26/2025,226.31,226,228.5,226,401.76K,-0.47%
02/25/2025,227.38,227.04,232.49,225.48,1.87M,0.37%
02/24/2025,226.54,224.76,227.9,223,732.54K,0.79%
02/21/2025,224.76,225.28,226.45,223.25,347.46K,-0.23%
02/20/2025,225.28,227.97,227.97,224.5,301.76K,-0.66%
02/19/2025,226.77,226,229.89,224.05,1.09M,0.59%
02/18/2025,225.44,219.8,226.38,217.7,3.81M,2.57%
02/17/2025,219.8,218.75,220.9,217.01,1.98M,0.51%
02/14/2025,218.68,216.75,219.92,215.5,2.50M,0.33%
02/13/2025,217.96,218.98,220.74,216.75,1.23M,0.15%
02/12/2025,217.64,217,219.5,214.8,2.03M,0.24%
02/11/2025,217.11,215.07,219,214.65,2.01M,1.15%
02/10/2025,214.65,215,220,214.05,1.64M,1.15%
02/07/2025,212.21,215.4,216.25,209.15,1.37M,-0.99%
02/06/2025,214.34,218,218,210.12,1.44M,-1.63%
02/04/2025,217.89,219,219.48,217,774.48K,-0.40%
02/03/2025,218.77,222.75,222.75,217.5,1.29M,-1.72%
01/31/2025,222.59,222.49,223.9,221.01,849.12K,0.05%
01/30/2025,222.48,222.75,224.5,221.02,647.83K,0.21%
01/29/2025,222.02,225.99,226.9,221.1,955.89K,-1.33%
01/28/2025,225.01,227.5,228.5,223.5,1.37M,-0.77%
01/27/2025,226.76,223.25,228.49,223.25,1.30M,1.62%
01/24/2025,223.14,219.88,224.76,218.02,1.52M,1.78%
01/23/2025,219.24,219.5,220.82,218,525.53K,-0.10%
01/22/2025,219.45,220,223.05,219,873.48K,-0.91%
01/21/2025,221.47,222.5,223.49,220.5,762.63K,0.20%
01/20/2025,221.02,222.49,223.9,220,1.20M,-0.14%
01/17/2025,221.33,220,222,218.01,1.32M,0.94%
01/16/2025,219.26,218.01,221.75,218.01,1.08M,-0.01%
01/15/2025,219.29,220,220.25,217.5,893.42K,0.19%
01/14/2025,218.87,221,222,217.6,1.34M,-0.60%
01/13/2025,220.19,219.99,222,217.03,958.47K,0.74%
01/10/2025,218.57,218,219,214,1.20M,0.21%
01/09/2025,218.12,222,223.98,217,1.04M,-1.87%
01/08/2025,222.27,226,231.62,220.16,2.48M,-1.17%
01/07/2025,224.91,235.9,235.9,218.63,3.74M,-3.75%
01/06/2025,233.67,244,248.8,230.26,6.48M,-2.41%
01/03/2025,239.45,221,240.64,221,5.64M,8.94%
01/02/2025,219.8,207.01,220,207.01,4.96M,6.70%
01/01/2025,206,204,209.5,202.89,1.34M,1.23%
12/31/2024,203.5,206.9,207.99,203.4,678.37K,-0.97%
12/30/2024,205.5,200,206.9,200,1.94M,2.39%
12/27/2024,200.7,200,201,198,516.94K,0.78%
12/26/2024,199.14,201.46,202,197.01,1.69M,-1.80%
12/24/2024,202.8,205,205,200.8,1.03M,0.25%
12/23/2024,202.3,200,204,197.01,1.22M,3.21%
12/20/2024,196,193,196,189.55,1.82M,1.90%
12/19/2024,192.35,196,201,191.51,1.77M,-3.00%
12/18/2024,198.29,203,206.2,195.5,1.61M,-2.51%
12/17/2024,203.39,205.01,207.99,202.5,1.76M,-0.79%
12/16/2024,205,204,207,201.5,3.42M,0.02%
12/13/2024,204.95,210.5,210.79,201.12,2.54M,-2.17%
12/12/2024,209.5,204,212,203,4.54M,3.35%
12/11/2024,202.7,203.75,206,202.01,919.25K,-0.87%
12/10/2024,204.48,210,211,200,2.00M,-3.09%
12/09/2024,211,208.95,211.98,204,1.24M,0.76%
12/06/2024,209.4,210.88,211.46,208.1,942.62K,0.36%
